product_id,segment
0001,Wellness Essentials
0002,Home Comforts
0003,Wellness Essentials
0004,Gourmet Delights
0005,Home Comforts
0006,Wellness Essentials
0007,Wellness Essentials
0008,Tech & Gadgets
0009,Gourmet Delights
0010,Chic & Trendy
0011,Gourmet Delights
0012,Tech & Gadgets
0013,Family Essentials
0014,Tech & Gadgets
0015,Home Comforts
0016,Wellness Essentials
0017,Family Essentials
0018,Home Comforts
0019,Tech & Gadgets
0020,Gourmet Delights
0021,Chic & Trendy
0022,Tech & Gadgets
0023,Gourmet Delights
0024,Tech & Gadgets
0025,Tech & Gadgets
0026,Family Essentials
0027,Chic & Trendy
0028,Chic & Trendy
0029,Gourmet Delights
0030,Chic & Trendy
0031,Home Comforts
0032,Wellness Essentials
0034,
0035,
0036,
0037,
0038,
0039,
0040,
0041,
0042,
0043,
0044,
0045,
0046,
0047,
0048,
0049,
0050,
0051,
0052,
0053,
0054,
0055,
0056,
0057,
0058,
0059,
0060,
0061,
0062,
0063,
0064,
0065,
0066,
0067,
0068,
0069,
0070,
0071,
0072,
0073,
0074,
0075,
0076,
0077,
0078,
0079,
0080,
0081,
0082,
0083,
0084,
0085,
0086,
0087,
0088,
0089,
0090,
0091,
0092,
0093,
0094,
0095,
0096,
0097,
0098,
0099,
0100,
0101,
0102,
0103,
0104,
0105,
0106,
0107,
0108,
0109,
0110,
0111,
0112,
0113,
0114,
0115,
0116,
0117,
0118,
0119,
0120,
0121,
0122,
0123,
0124,
0125,
